seed,mode,set_id,lmin_fit,kr_hat,fit_status,adoption_status,class_l1,q90_ratio
105,window_mc,2,0.75,2.75,ok,accepted,0.12364237934258794,0.625278492776411
105,window_mc,3,0.1,3.35,ok,provisional_accepted,0.11308948050308792,0.7631332478569519
105,window_mc,3,0.2,3.25,ok,accepted,0.1036385324837799,0.7663918576918641
105,window_mc,3,0.3,3.2,ok,accepted,0.05669403302963713,0.7615481399805145
105,window_mc,3,0.5,3.1,ok,accepted,0.04329429783975239,0.7761678635806203
105,window_mc,3,0.75,3.1,ok,accepted,0.026506311658003573,0.7545076082886664
105,window_mc,5,0.1,3.75,ok,accepted,0.08426366212218864,0.9046882063672373
105,window_mc,5,0.2,3.9000000000000004,ok,provisional_accepted,0.05740720894509348,0.8704568532649914
105,window_mc,5,0.3,3.8000000000000003,ok,accepted,0.04354126908951848,0.8781114320998987
105,window_mc,5,0.5,3.65,ok,accepted,0.10306009706953118,0.8496513992465831
105,window_mc,5,0.75,3.65,ok,accepted,0.08528003943769477,0.8125779849367851
105,hybrid,1,0.1,2.55,ok,provisional_accepted,0.06974614919719523,0.6336776994263034
105,hybrid,1,0.2,2.6,ok,accepted,0.03646697150533465,0.612154371816989
105,hybrid,1,0.3,2.6,ok,accepted,0.03677896170237999,0.601261772458022
105,hybrid,1,0.5,2.55,ok,provisional_accepted,0.043311713207786845,0.5378602311215058
105,hybrid,1,0.75,2.6,ok,accepted,0.03513618299893385,0.5486036290934694
105,hybrid,2,0.1,2.6500000000000004,ok,provisional_accepted,0.0485677962196434,0.6454459416514929
105,hybrid,2,0.2,2.6500000000000004,ok,provisional_accepted,0.059654468992345416,0.6528361117119267
105,hybrid,2,0.3,2.6500000000000004,ok,provisional_accepted,0.0736622627230876,0.656715800337393
105,hybrid,2,0.5,2.6500000000000004,ok,provisional_accepted,0.05543905635648752,0.6669073215281673
105,hybrid,2,0.75,2.6,ok,provisional_accepted,0.09330326288603548,0.6562400061431997
105,hybrid,3,0.1,3.0,ok,accepted,0.07604758250871085,0.8255818176504827
105,hybrid,3,0.2,3.1,ok,accepted,0.07018114775686989,0.7891981411084358
105,hybrid,3,0.3,3.05,ok,accepted,0.04390468169220514,0.7885817768391739
105,hybrid,3,0.5,3.05,ok,accepted,0.038479970202394936,0.7855646705995877
105,hybrid,3,0.75,3.05,ok,accepted,0.03892880681684431,0.761444649796044
105,hybrid,5,0.1,3.6,ok,accepted,0.08330649997847275,0.9377057282062738
105,hybrid,5,0.2,3.65,ok,accepted,0.05610243156517351,0.9094020569965862
105,hybrid,5,0.3,3.65,ok,accepted,0.0439900936789348,0.9102124541237993
